ID;OLT;Hora;F/S/P;ONT ID;MAC;CLIENTE;S/N;RX (dBm);TX (dBm);Status;Primária;Secundária;Porta Sec.;Descrição OLT;Mudanças
8541;95;2025-06-16 09:21:01.355713;0/0/0;0;70:C7:F2:15:27:12;;485754434B5E349E;-20.36;2.0;online;AD21;AD21-S7;P1;AD21S7 P1;Não
8545;95;2025-06-16 09:21:03.219604;0/0/0;2;80:69:33:8D:F9:52;;48575443F65A549D;-16.71;2.31;online;AD21;AD21-S6;P2;AD21S6 P2;Não
8549;95;2025-06-16 09:21:05.116588;0/0/0;3;C8:8D:83:63:4C:DD;;48575443634CDC9A;-21.02;2.19;online;A6D21;A6D21-S6;P4;A6D21S6 P4;Não
8553;95;2025-06-16 09:21:06.976686;0/0/0;5;7C:C3:85:B1:3F:84;;48575443B13F839E;-20.6;1.9;online;AD21;AD21-S2;P4;AD21S2 P4;Não
8557;95;2025-06-16 09:21:09.426660;0/0/0;6;FC:BC:D1:85:12:E2;;48575443769DF19E;-19.5;2.18;online;AD21;AD21-S4;P4;AD21S4 P4;Não
8560;95;2025-06-16 09:21:10.962339;0/0/0;7;28:B4:48:3C:D1:E9;;48575443E6C0229A;-18.07;2.09;online;AD21;AD21-S7;P2;AD21S7 P2;Não
8564;95;2025-06-16 09:21:13.093054;0/0/0;10;80:41:26:D1:2C:96;;485754438F29209B;-19.43;2.1;online;AD21;AD21-S7;P4;AD21S7 P4;Não
8567;95;2025-06-16 09:21:14.640467;0/0/0;11;18:DE:D7:0D:28:3A;;485754430D28398A;-20.91;2.07;online;AD21;AD21-S2;P3;AD21S2 P3;Não
8540;95;2025-06-16 09:21:01.294929;0/0/1;0;68:CC:6E:DA:1B:88;;4857544365E5389A;-16.82;2.46;online;AD22;AD22-S2;P1;AD22S2 P1;Não
8544;95;2025-06-16 09:21:03.145151;0/0/1;1;FC:1B:D1:66:54:7E;;485754437D8C1DA3;-16.07;2.31;online;AD22;AD22-S7;P1;AD22S7 P1;Não
8548;95;2025-06-16 09:21:05.001105;0/0/1;2;DC:99:14:0B:9C:AC;;4857544303EDEB9D;-16.71;2.05;online;AD22;AD22-S1;P1;AD22S1 P1;Não
8552;95;2025-06-16 09:21:06.924699;0/0/1;3;00:2E:C7:4B:C6:4B;;4857544348B8B19B;-30.45;2.13;online;AD22;AD22-S3;P3;AD22S3 P3;Não
8556;95;2025-06-16 09:21:09.084224;0/0/1;4;78:58:60:F4:39:33;;48575443FE294C9B;-20.81;1.97;online;AD22;AD22-S2;P4;AD22S2 P4;Não
8181;95;2025-06-12 16:33:36.174568;0/0/10;0;00:2E:C7:F2:81:BB;;48575443576C5B9B;-25.08;2.18;online;A7F110;A7F110-S8;P4;A7F110S8 P4;Não
8185;95;2025-06-12 16:33:37.783054;0/0/10;1;CC:BB:FE:6A:E7:AE;;48575443E4BE2B9D;-21.08;2.18;online;A7F110;A7F110-S2;P1;A7F110S2 P1;Não
8190;95;2025-06-12 16:33:39.397989;0/0/10;2;FC:1B:D1:66:59:24;;485754437D8C63A3;-22.07;2.1;online;7F110;7F110-S7;P5;7F110S7 P5;Não
8192;95;2025-06-12 16:33:41.221468;0/0/10;3;38:BC:01:8A:4A:BA;;485754438A4AB99A;-22.59;2.19;online;A7F110;A7F110-S4;P1;A7F110S4 P1;Não
8193;95;2025-06-12 16:33:43.075071;0/0/10;4;80:41:26:3C:43:DF;;48575443804D929B;-20.5;2.24;online;AF110;AF110-S1;P9;AF110S1 P9;Não
8196;95;2025-06-12 16:33:45.114075;0/0/10;5;A4:BE:2B:02:BE:1C;;48575443DD48459C;-21.48;2.21;online;A7F110;A7F110-S5;P1;A7F110S5 P1;Não
8198;95;2025-06-12 16:33:46.823495;0/0/10;6;A0:8C:F8:4C:65:04;;485754434C650393;-26.38;2.09;online;A7F110;A7F110-S6-B;P16;A7F110S6-B P16;Não
8200;95;2025-06-12 16:33:48.489511;0/0/10;7;48:57:02:D4:D4:5A;;48575443BB68D59D;-21.74;2.26;online;A7F110;A7F110-S1;P15;A7F110S1 P15;Não
8202;95;2025-06-12 16:33:49.108131;0/0/10;8;;;485754434639108B;;;offline;A7F110;A7F110-S8;P4;A7F110S8 P4;Não
8203;95;2025-06-12 16:33:49.691280;0/0/10;9;;;48575443E04172A1;;;offline;A7F110;A7F110-S8;P3;A7F110S8 P3;Não
8204;95;2025-06-12 16:33:50.274507;0/0/10;10;;;485754431845DA81;;;offline;AF110;AF110-S2;P11;AF110S2 P11;Não
8206;95;2025-06-12 16:33:50.823229;0/0/10;11;;;48575443B3C4EB8D;;;offline;A7AF110;A7AF110-S8;P1;A7AF110S8 P1;Não
8210;95;2025-06-12 16:33:52.661020;0/0/10;12;BC:3F:8F:94:A5:78;;48575443821AC7B3;-20.97;1.93;online;A7F110;A7F110-S1;P8;A7F110S1 P8;Não
8214;95;2025-06-12 16:33:54.517859;0/0/10;13;C8:8D:83:E7:A0:CA;;48575449A7A0C99A;-22.0;2.1;online;A7F110;A7F110-S6-B;P14;A7F110S6-B P14;Não
8219;95;2025-06-12 16:33:56.165800;0/0/10;14;58:F9:87:F7:CC:08;;485754432C90899D;-21.13;2.08;online;A7F110;A7F110-S5;P2;A7F110S5 P2;Não
8223;95;2025-06-12 16:33:57.753663;0/0/10;15;28:B4:48:3C:CF:5F;;48575443E6BFF09A;-23.66;2.04;online;A7F110;A7F110-S6-A;P6;A7F110S6-A P6;Não
8227;95;2025-06-12 16:33:59.741722;0/0/10;16;04:33:89:3B:06:FA;;48575443B736EA9D;-21.19;2.25;online;AF110;AF110-S1;P7;AF110S1 P7;Não
8231;95;2025-06-12 16:34:01.388785;0/0/10;17;FC:BC:D1:F2:EE:01;;485754437DC85A9E;-23.01;2.19;online;A7F111;A7F111-S5;P9;A7F111S5 P9;Não
